meter_id,group_id,model,fold,train_start,train_end,validation_start,validation_end,n_train,n_valid,wape,mae,status,error
M0010,G10,seasonal_naive,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.12462984210642168,2.1162132976638373,ok,
M0010,G10,weighted_baseline,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.16031520081502898,2.7221502815731484,ok,
M0010,G10,holt_winters,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.12396137975294892,2.1048628145251462,ok,
M0010,G10,sarimax,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.08489537349241692,1.4415224737377226,ok,
M0011,G11,seasonal_naive,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.120317421323322,1.01607886078458,ok,
M0011,G11,weighted_baseline,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.12454317744507117,1.0517653093380455,ok,
M0011,G11,holt_winters,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.1534025779970168,1.2954825242952015,ok,
M0011,G11,sarimax,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.07505300591873798,0.6338215356813639,ok,
M0011,G11,seasonal_naive,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.12405620264374818,1.0326897659280487,ok,
M0011,G11,weighted_baseline,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.18370172081951883,1.52920114456888,ok,
M0011,G11,holt_winters,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.14415814432442045,1.2000257717586196,ok,
M0011,G11,sarimax,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.1136901221510393,0.9463986735886497,ok,
M0012,G12,seasonal_naive,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.09272512464661938,0.48542995648515275,ok,
M0012,G12,weighted_baseline,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.26981822650357445,1.412538947234583,ok,
M0012,G12,holt_winters,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.06617774334686756,0.3464504274929195,ok,
M0012,G12,sarimax,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.0515964457131888,0.27011514401080877,ok,
M0012,G12,seasonal_naive,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.08753372126511334,0.4500644947161969,ok,
